hair	feathers	eggs	milk	airborne	aquatic	predator	toothed	backbone	breathes	venomous	fins	legs	tail	domestic	catsize	type	name
yes	no	yes	no	yes	no	no	no	no	yes	no	no	6	no	no	no	insect	moth
no	no	yes	no	no	yes	yes	yes	yes	yes	no	no	4	yes	no	no	amphibian	newt
no	no	yes	no	no	yes	yes	no	no	no	no	no	8	no	no	yes	invertebrate	octopus
yes	no	no	yes	no	no	yes	yes	yes	yes	no	no	4	yes	no	no	mammal	opossum
yes	no	no	yes	no	no	no	yes	yes	yes	no	no	4	yes	no	yes	mammal	oryx
no	yes	yes	no	no	no	no	no	yes	yes	no	no	2	yes	no	yes	bird	ostrich
no	yes	yes	no	yes	no	no	no	yes	yes	no	no	2	yes	yes	no	bird	parakeet
no	yes	yes	no	no	yes	yes	no	yes	yes	no	no	2	yes	no	yes	bird	penguin
no	yes	yes	no	yes	no	no	no	yes	yes	no	no	2	yes	no	no	bird	pheasant
no	no	yes	no	no	yes	yes	yes	yes	no	no	yes	0	yes	no	yes	fish	pike
no	no	yes	no	no	yes	yes	yes	yes	no	no	yes	0	yes	no	no	fish	piranha
no	no	yes	no	no	no	yes	yes	yes	yes	yes	no	0	yes	no	no	reptile	pitviper
yes	no	yes	yes	no	yes	yes	no	yes	yes	no	no	4	yes	no	yes	mammal	platypus
yes	no	no	yes	no	no	yes	yes	yes	yes	no	no	4	yes	no	yes	mammal	polecat
yes	no	no	yes	no	no	no	yes	yes	yes	no	no	4	yes	yes	yes	mammal	pony
no	no	no	yes	no	yes	yes	yes	yes	yes	no	yes	0	yes	no	yes	mammal	porpoise
yes	no	no	yes	no	no	yes	yes	yes	yes	no	no	4	yes	no	yes	mammal	puma
yes	no	no	yes	no	no	yes	yes	yes	yes	no	no	4	yes	yes	yes	mammal	pussycat
yes	no	no	yes	no	no	yes	yes	yes	yes	no	no	4	yes	no	yes	mammal	raccoon
yes	no	no	yes	no	no	no	yes	yes	yes	no	no	4	yes	yes	yes	mammal	reindeer
no	yes	yes	no	no	no	yes	no	yes	yes	no	no	2	yes	no	yes	bird	rhea
no	no	no	no	no	no	yes	no	no	yes	yes	no	8	yes	no	no	invertebrate	scorpion
no	no	yes	no	no	yes	no	yes	yes	no	no	yes	0	yes	no	no	fish	seahorse
yes	no	no	yes	no	yes	yes	yes	yes	yes	no	yes	0	no	no	yes	mammal	seal
yes	no	no	yes	no	yes	yes	yes	yes	yes	no	yes	2	yes	no	yes	mammal	sealion
no	no	no	no	no	yes	yes	yes	yes	no	yes	no	0	yes	no	no	reptile	seasnake
no	no	yes	no	no	yes	yes	no	no	no	yes	no	0	no	no	no	invertebrate	seawasp
no	yes	yes	no	yes	yes	yes	no	yes	yes	no	no	2	yes	no	no	bird	skimmer
no	yes	yes	no	yes	yes	yes	no	yes	yes	no	no	2	yes	no	no	bird	skua
no	no	yes	no	no	no	yes	yes	yes	yes	no	no	0	yes	no	no	reptile	slowworm
no	no	yes	no	no	no	no	no	no	yes	no	no	0	no	no	no	invertebrate	slug
no	no	yes	no	no	yes	no	yes	yes	no	no	yes	0	yes	no	no	fish	sole
no	yes	yes	no	yes	no	no	no	yes	yes	no	no	2	yes	no	no	bird	sparrow
yes	no	no	yes	no	no	no	yes	yes	yes	no	no	2	yes	no	no	mammal	squirrel
no	no	yes	no	no	yes	yes	no	no	no	no	no	5	no	no	no	invertebrate	starfish
no	no	yes	no	no	yes	yes	yes	yes	no	yes	yes	0	yes	no	yes	fish	stingray
no	yes	yes	no	yes	yes	no	no	yes	yes	no	no	2	yes	no	yes	bird	swan
no	no	yes	no	no	no	no	no	no	yes	no	no	6	no	no	no	insect	termite
no	no	yes	no	no	yes	no	yes	yes	yes	no	no	4	no	no	no	amphibian	toad
no	no	yes	no	no	no	no	no	yes	yes	no	no	4	yes	no	yes	reptile	tortoise
no	no	yes	no	no	no	yes	yes	yes	yes	no	no	4	yes	no	no	reptile	tuatara
no	no	yes	no	no	yes	yes	yes	yes	no	no	yes	0	yes	no	yes	fish	tuna
yes	no	no	yes	yes	no	no	yes	yes	yes	no	no	2	yes	no	no	mammal	vampire
yes	no	no	yes	no	no	no	yes	yes	yes	no	no	4	yes	no	no	mammal	vole
no	yes	yes	no	yes	no	yes	no	yes	yes	no	no	2	yes	no	yes	bird	vulture
yes	no	no	yes	no	no	no	yes	yes	yes	no	no	2	yes	no	yes	mammal	wallaby
yes	no	yes	no	yes	no	no	no	no	yes	yes	no	6	no	no	no	insect	wasp
yes	no	no	yes	no	no	yes	yes	yes	yes	no	no	4	yes	no	yes	mammal	wolf
no	no	yes	no	no	no	no	no	no	yes	no	no	0	no	no	no	invertebrate	worm
no	yes	yes	no	yes	no	no	no	yes	yes	no	no	2	yes	no	no	bird	wren
